ID,TUBODNA,FID,IID
10050,N - 718,599,56472
10110,N - 730,600,56473
10137,N - 741,601,56474
7181,N - 753,602,56475
3466,N - 672,603,56476
10031,N - 684,604,56477
7091,N - 696,605,56478
10036,N - 708,606,56479
3509,N - 719,607,56480
10095,N - 731,608,56481
6905,N - 742,609,56482
10143,N - 754,610,56483
10004,N - 673,611,56484
1992,N - 685,612,56485
6665,N - 697,613,56486
10049,N - 709,614,56487
7113,N - 720,615,56488
10064,N - 732,616,56489
10102,N - 743,617,56490
3577,N - 755,618,56491
3523,N - 674,619,56492
7034,N - 686,620,56493
6871,N - 698,621,56494
7215,N - 710,622,56495
10063,N - 721,623,56496
10065,N - 733,624,56497
10122,N - 744,625,56498
7220,N - 756,626,56499
1980,N - 675,627,56500
7043,N - 687,628,56501
1681,N - 699,629,56502
1692,N - 689,630,56503
10100,N - 722,631,56504
3312,N - 734,632,56505
3488,N - 745,633,56506
3951,N - 757,634,56507
3464,N - 676,635,56508
1991,N - 688,636,56509
7048,N - 700,637,56510
3492,N - 711,638,56511
10068,N - 723,639,56512
10084,N - 735,640,56513
7127,N - 746,641,56514
3581,N - 758,642,56515
1990,N - 677,643,56516
10022,N - 701,645,56518
3505,N - 712,646,56519
10075,N - 724,647,56520
7178,N - 736,648,56521
3622,N - 747,649,56522
3588,N - 759,650,56523
3455,N - 678,651,56524
5088,N - 690,652,56525
10017,N - 702,653,56526
10047,N - 713,654,56527
7131,N - 725,655,56528
3533,N - 737,656,56529
7175,N - 748,657,56530
3584,N - 760,658,56531
10000,N - 691,659,56533
10008,N - 703,660,56534
10024,N - 714,661,56535
7148,N - 726,662,56536
7163,N - 738,663,56537
3423,N - 749,664,56538
3474,N - 679,665,56539
10048,N - 761,666,56540
3633,N - 786,668,56542
10213,N - 798,669,56543
10267,N - 810,670,56544
10312,N - 824,671,56545
10346,N - 836,672,56546
3766,N - 848,673,56547
7219,N - 762,674,56548
7222,N - 775,675,56549
7187,N - 787,676,56550
10208,N - 799,677,56551
3593,N - 811,678,56552
7244,N - 825,679,56553
10383,N - 837,680,56554
10217,N - 849,681,56555
7204,N - 763,682,56556
3614,N - 776,683,56557
3644,N - 788,684,56558
10302,N - 800,685,56559
3638,N - 812,686,56560
10373,N - 826,687,56561
3762,N - 838,688,56562
10241,N - 850,689,56563
10125,N - 764,690,56564
3608,N - 777,691,56565
10206,N - 801,693,56567
3684,N - 813,694,56568
3770,N - 827,695,56569
10379,N - 839,696,56570
10254,N - 851,697,56571
7180,N - 766,698,56572
10166,N - 778,699,56573
3679,N - 790,700,56574
10229,N - 802,701,56575
